request_id	group	label	visible	visible_tokens	mean_head_mass	mean_head_density	mean_head_AV_norm	source_output_norm	local_direction_projection
hpm-Q02-D04	query_focal	查询词形	True	1	0.004067702804565329	0.004067702804565329	0.08615629328666355	2.091779274655633	0.011747161605122403
hpm-Q02-D04	query_quote_other	引文其他token	False	0					
hpm-Q02-D04	query_rejection	反对段	False	0					
hpm-Q02-D04	query_other	查询其他／边界	True	15	0.017505372590273634	0.0011670248393515755	0.14696205026567666	2.4856016180978	-0.004329176688098743
hpm-Q02-D04	remainder	其余上下文	True	782	0.9723345189446739	0.0012433945255046982	3.078260261968265	37.35334677407023	-0.3836048893131486
hpm-Q02-D05	definition_original	原释义子句	True	20	0.002300920905227807	0.00011504604526139038	0.014762882070766502	0.3251116385524796	-0.0011197238462559594
hpm-Q02-D05	definition_ordinary	普通义子句	True	18	0.0014998265077302375	8.332369487390209e-05	0.008586567246081735	0.1833114154026808	-0.0007484927091261857
hpm-Q02-D05	definition_scaffold	释义连接／边界	True	6	0.0016828279209990115	0.0002804713201665019	0.02291240483660002	0.5059187281296974	-0.00022016158658323426
hpm-Q02-D05	query_focal	查询词形	True	1	0.004443690821284709	0.004443690821284709	0.10599271837952468	2.588171058252467	0.009466765958371507
hpm-Q02-D05	query_quote_other	引文其他token	False	0					
hpm-Q02-D05	query_rejection	反对段	False	0					
hpm-Q02-D05	query_other	查询其他／边界	True	15	0.018358718392548053	0.0012239145595032033	0.16416700672337248	2.8002759280596345	-0.0070720218671474645
hpm-Q02-D05	remainder	其余上下文	True	782	0.971714022750882	0.0012426010521111024	3.0709039565332628	37.32721709698045	-0.30760059946900836
hpm-Q02-D06	definition_original	原释义子句	True	20	0.0019528919965366139	9.76445998268307e-05	0.014101249627295353	0.3034986336817185	-0.0018275399133590442
hpm-Q02-D06	definition_ordinary	普通义子句	True	18	0.0017521974368312908	9.734430204618282e-05	0.007103043111044528	0.13510360690296302	-0.0002770404097912312
hpm-Q02-D06	definition_scaffold	释义连接／边界	True	6	0.0013316748722658226	0.00022194581204430382	0.018153573353003646	0.3960167456993951	0.0005973732500468915
hpm-Q02-D06	query_focal	查询词形	True	1	0.0038119282940722093	0.0038119282940722093	0.08661473102014954	2.107636866779727	0.0073334582132977295
hpm-Q02-D06	query_quote_other	引文其他token	False	0					
hpm-Q02-D06	query_rejection	反对段	False	0					
hpm-Q02-D06	query_other	查询其他／边界	True	15	0.017873243362441924	0.0011915495574961281	0.15515667606054645	2.6454235968337803	-0.0051461380549503895
hpm-Q02-D06	remainder	其余上下文	True	782	0.9732780660143115	0.001244601107435181	3.07810877425605	37.42205706958235	-0.2985869023147137
hpm-Q03-D01	definition_original	原释义子句	True	21	0.0027915698418764395	0.00013293189723221138	0.02138379837909792	0.4247586455347403	-0.0011239028789837783
hpm-Q03-D01	definition_ordinary	普通义子句	False	0					
hpm-Q03-D01	definition_scaffold	释义连接／边界	False	0					
hpm-Q03-D01	query_focal	查询词形	True	1	0.001976075514816839	0.001976075514816839	0.04514681644971238	1.0662866671768807	0.001900174165580494
hpm-Q03-D01	query_quote_other	引文其他token	True	15	0.006991099232540631	0.0004660732821693753	0.05487582619077781	0.9461498230142635	-0.0029042779459606165
hpm-Q03-D01	query_rejection	反对段	True	16	0.014967607011972854	0.0009354754382483034	0.12641725845734617	2.2238897306919627	0.0022629904853490026
hpm-Q03-D01	query_other	查询其他／边界	True	3	0.005545328421811326	0.0018484428072704417	0.06832977921841163	1.2143255859236262	-0.01082983328931937
