contrast_id,role,cross_query,view,effect,numeric_bound,direction,statistical_interval,ncc_background_cancels,cancellation_residual,terms
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,leave_one_out/space,0.03789887998312036,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,leave_one_out/na,0.03946795892883248,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,leave_one_out/mask,0.04344017897520969,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,leave_one_out/lorem,0.0430200351906902,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_symmetric_sum,-1.0948991775512695,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,ab_mapping_gap_sum,-0.5561161041259766,0.00537109375,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,original/answer_sum,0.16318130493164062,0.002685546875,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,original/answer_mean,0.05439580281575562,0.002685546875,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,original/total_with_eos,0.16318130493164062,0.002685546875,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,original/mean_with_eos,0.04079659779866551,0.002685546875,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,ab_forward/answer_sum,-1.1971492767333984,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,ab_forward/answer_mean,-0.5985746383666992,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,ab_forward/total_with_eos,-1.197153091430664,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,ab_forward/mean_with_eos,-0.3990510304768886,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
FD-3169-Q01-F1-N2-delta,within_query_word_pair,False,ab_reverse/answer_sum,-0.9071617126464844,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N2-H""}]"
