family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,Lq_hit,223,-3.7530351922639174,-3.5787487763217474,-8.773225196334009,0.5537234104970671,-5.71703395761849,-1.6043459645368494,4.112687993081641,-10.077562428800121,2.316673531756021,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,Lq_no_hit,420,-2.099221368774536,-1.7741146560529035,-6.844237512869089,1.9548754686116685,-3.9170071461928107,-0.21944733093904445,3.6975598152537663,-11.623821234715981,5.657090119450983,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,gold_size_0,252,-1.6536506481995052,-1.2056355116310822,-5.794944836520382,1.8400540000885584,-3.2497303140050318,-0.09812136062820587,3.151608953376826,-11.623821234715981,5.611653453986301,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,gold_size_1,328,-3.235168123744559,-3.3640640699295616,-8.23382865660845,1.5251089899638253,-5.1263206199471725,-1.0638276268452151,4.062492993101957,-10.077562428800121,5.657090119450983,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,gold_size_2plus,63,-3.8213446797725066,-4.313312241781319,-7.950541031534516,1.2759158026840418,-6.343096150451718,-1.8286945980029832,4.514401552448735,-9.830392145381804,5.083548073627813,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,gold_size_2_appendix,56,-3.7339185541669315,-3.586539260168171,-8.173451423566615,1.419199452949609,-6.387006635069266,-1.611091759536413,4.7759148755328535,-9.830392145381804,5.083548073627813,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CD_minus_PD,CD minus PD,gold_size_3_appendix,7,-4.5207536846171035,-5.050956358480934,-6.581250183649289,-0.8562835547610377,-6.1132852134903635,-4.076699456408418,2.0365857570819452,-6.636839303397823,0.4224892093566004,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,all,643,-0.35563509621824263,-0.1320316933732144,-4.809221244156729,3.4293893339054624,-1.919366348886687,1.3287482341740924,3.2481145830607794,-10.466306106280499,7.757228513481904,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,Lq_hit,223,0.5883134007383432,0.6983035605434376,-3.156285060424963,4.04208618806802,-0.5762584430023479,2.0196490731693792,2.595907516171727,-10.466306106280499,6.48105016279451,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,Lq_no_hit,420,-0.8568267981737633,-0.8038310710657111,-5.077438424808356,3.0600825974466677,-2.402268101800661,0.809700722505458,3.211968824306119,-8.973823858397699,7.757228513481904,defined,,,,,,,,,,,
